meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2024-14-2T14:22:18-08:00",Africa_Eastern,Mixed,FeedCrops,Beef,Beef,0.0123841,0.0184554,0.0255638,0.0384381,0.0434806,0.0553102,0.0830021,0.116847,0.142622,0.180081,0.225125,0.266106,0.317734,0.345451,0.412057,0.481685,0.516036,0.617898,0.666045,0.680144,0.828233,Mt,
"Reference,date=2024-14-2T14:22:18-08:00",Africa_Eastern,Mixed,FeedCrops,Dairy,Dairy,0.223711,0.331765,0.415734,0.460871,0.484741,0.562503,0.763368,0.98486,1.11032,1.30555,1.54845,1.74923,2.02204,2.16066,2.54313,2.94656,3.15294,3.77426,4.09833,4.21689,5.12798,Mt,
"Reference,date=2024-14-2T14:22:18-08:00",Africa_Eastern,Mixed,FeedCrops,Pork,Pork,0.0199811,0.0340869,0.0479256,0.0631631,0.0699294,0.0814974,0.101099,0.121625,0.137714,0.158579,0.181553,0.202793,0.228227,0.246477,0.276161,0.30322,0.32157,0.355825,0.374723,0.383781,0.418798,Mt,
"Reference,date=2024-14-2T14:22:18-08:00",Africa_Eastern,Mixed,FeedCrops,Poultry,Poultry,0.171982,0.171075,0.233658,0.320841,0.364543,0.426647,0.520682,0.621433,0.716918,0.833145,0.960388,1.09047,1.23137,1.34914,1.50268,1.65636,1.7765,1.93626,2.04279,2.11945,2.26119,Mt,
"Reference,date=2024-14-2T14:22:18-08:00",Africa_Eastern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.004639,0.0079984,0.0102357,0.0097769,0.0109822,0.0129008,0.0160662,0.0195608,0.0229092,0.0272051,0.032184,0.0375164,0.0435405,0.0490539,0.0564322,0.0640401,0.0701831,0.0785808,0.0851546,0.0896835,0.0977153,Mt,
"Reference,date=2024-14-2T14:22:18-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Beef,Beef,0.0102537,0.0260894,0.0412998,0.0712015,0.0867855,0.107494,0.137072,0.176334,0.22659,0.284053,0.350834,0.427534,0.500318,0.592907,0.675697,0.747753,0.812775,0.882517,0.956971,1.01552,1.06761,Mt,
"Reference,date=2024-14-2T14:22:18-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Dairy,Dairy,0.908659,1.79915,2.36671,2.7535,3.10701,3.50162,4.01847,4.72272,5.59807,6.53453,7.65604,8.91258,10.095,11.7482,13.1989,14.4578,15.6784,16.9947,18.532,19.7843,20.7355,Mt,
"Reference,date=2024-14-2T14:22:18-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Pork,Pork,0.0819887,0.107269,0.126895,0.142714,0.160089,0.179258,0.20077,0.228394,0.261991,0.294887,0.330741,0.370174,0.406717,0.4577,0.49773,0.526563,0.558268,0.587356,0.622577,0.651345,0.662999,Mt,
"Reference,date=2024-14-2T14:22:18-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.241393,0.284119,0.329694,0.423789,0.498565,0.58107,0.675948,0.786803,0.926448,1.07106,1.22661,1.4077,1.57596,1.78923,1.96213,2.12345,2.29619,2.4196,2.57356,2.72301,2.76258,Mt,
"Reference,date=2024-14-2T14:22:18-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.006259,0.0134626,0.0196109,0.0214391,0.024942,0.0293565,0.0353065,0.0422291,0.0504904,0.0598018,0.0704317,0.0830268,0.0958383,0.11157,0.126883,0.142087,0.157234,0.17117,0.187141,0.200793,0.209408,Mt,
