meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Mixed,FeedCrops,Beef,Beef,0.0123841,0.0184554,0.0255638,0.0384381,0.0441604,0.0558675,0.0790674,0.11312,0.145199,0.181951,0.221614,0.257809,0.309385,0.345413,0.409588,0.461533,0.513215,0.580449,0.645153,0.684536,0.767224,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Mixed,FeedCrops,Dairy,Dairy,0.223711,0.331765,0.415734,0.460871,0.492895,0.569192,0.727931,0.956347,1.13355,1.32842,1.53419,1.70725,1.98582,2.17482,2.54787,2.85262,3.17085,3.6155,4.03861,4.30465,4.83277,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Mixed,FeedCrops,Pork,Pork,0.0199811,0.0340869,0.0479256,0.0631631,0.0703376,0.0818279,0.0990409,0.11973,0.138779,0.159956,0.180449,0.200217,0.225689,0.246239,0.2746,0.298502,0.320656,0.345011,0.367751,0.383222,0.403093,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Mixed,FeedCrops,Poultry,Poultry,0.171982,0.171075,0.233658,0.320841,0.365661,0.42757,0.514516,0.615504,0.719142,0.834415,0.955682,1.07836,1.21861,1.34386,1.49212,1.62793,1.75697,1.88177,2.00172,2.09148,2.18511,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.004639,0.0079984,0.0102357,0.0097769,0.0110324,0.0129359,0.0158196,0.0193426,0.0229852,0.0272304,0.031973,0.0369905,0.0429599,0.0488682,0.0558389,0.0626351,0.0691668,0.0757944,0.0827981,0.0880371,0.092977,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Beef,Beef,0.0102537,0.0260894,0.0412998,0.0712015,0.0865993,0.107114,0.137509,0.177053,0.225698,0.283228,0.350219,0.427772,0.500974,0.594854,0.671965,0.754737,0.819685,0.893743,0.966138,1.02871,1.06517,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Dairy,Dairy,0.908659,1.79915,2.36671,2.7535,3.10386,3.49582,4.03605,4.75794,5.59278,6.5641,7.69469,8.98556,10.1977,11.8661,13.2333,14.7479,15.9901,17.5494,19.0351,20.3293,21.0548,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Pork,Pork,0.0819887,0.107269,0.126895,0.142714,0.159453,0.178546,0.201934,0.229906,0.261632,0.297026,0.332614,0.37391,0.411056,0.461363,0.498791,0.539828,0.569503,0.605974,0.638259,0.668053,0.678619,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.241393,0.284119,0.329694,0.423789,0.496704,0.579063,0.680167,0.789383,0.921827,1.06715,1.22678,1.4093,1.57656,1.78585,1.94888,2.1327,2.28777,2.43003,2.57107,2.7033,2.75409,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.006259,0.0134626,0.0196109,0.0214391,0.0249038,0.0292876,0.0353028,0.0422077,0.0502889,0.0595314,0.0702307,0.0826587,0.0953341,0.111248,0.125414,0.141398,0.15565,0.16949,0.184603,0.197657,0.204278,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Mixed,Pasture_FodderGrass,Beef,Beef,0.0849829,0.167223,0.251046,0.4115,0.458153,0.506326,0.569021,0.638711,0.71077,0.789978,0.860154,0.926948,0.986275,1.03013,1.07552,1.10462,1.12742,1.15321,1.16241,1.17241,1.19856,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Mixed,Pasture_FodderGrass,Dairy,Dairy,2.45641,4.62136,6.03198,6.96381,7.17831,7.22516,7.3056,7.51575,7.72137,8.03467,8.30283,8.56453,8.83709,9.05488,9.33964,9.52619,9.71527,10.0113,10.1349,10.2631,10.5018,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Mixed,Pasture_FodderGrass,SheepGoat,SheepGoat,0.185966,0.366499,0.510336,0.533611,0.609044,0.697534,0.809956,0.926308,1.05107,1.18676,1.32717,1.47663,1.62446,1.77782,1.92016,2.05804,2.18069,2.29316,2.39501,2.48147,2.54547,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Eastern,Mixed,Scavenging_Other,Beef,Beef,0.0056677,0.011149,0.016734,0.02743,0.0311629,0.0345084,0.0369126,0.0401989,0.0442219,0.0488779,0.0542672,0.0588498,0.0643863,0.0701036,0.0745443,0.0801396,0.0839013,0.0892834,0.0928425,0.0959311,0.0994557,Mt,
