meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Eastern,Mixed,FeedCrops,Beef,Beef,0.0123841,0.0184554,0.0255638,0.0384381,0.0397201,0.0548092,0.0845898,0.0986082,0.135236,0.177918,0.216781,0.255623,0.288647,0.354618,0.415767,0.453726,0.478084,0.539478,0.603111,0.627068,0.67348,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Eastern,Mixed,FeedCrops,Dairy,Dairy,0.223711,0.331765,0.415734,0.460871,0.441727,0.554611,0.777318,0.829925,1.0522,1.28793,1.49445,1.69381,1.85875,2.24647,2.59884,2.82692,2.97936,3.38818,3.78858,3.97737,4.29981,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Eastern,Mixed,FeedCrops,Pork,Pork,0.0199811,0.0340869,0.0479256,0.0631631,0.0673302,0.0809608,0.101247,0.113839,0.135601,0.157827,0.177875,0.200559,0.218874,0.248625,0.275673,0.295304,0.31209,0.335108,0.358972,0.370587,0.384695,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Eastern,Mixed,FeedCrops,Poultry,Poultry,0.171982,0.171075,0.233658,0.320841,0.356963,0.425099,0.520075,0.599435,0.710889,0.830746,0.950983,1.07785,1.20054,1.35028,1.49391,1.61758,1.72841,1.85668,1.96875,2.0447,2.12531,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Eastern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.004639,0.0079984,0.0102357,0.0097769,0.0106868,0.0128697,0.0161249,0.0186187,0.0226232,0.0271104,0.0318202,0.0368935,0.0423149,0.049044,0.0559005,0.0618859,0.0673285,0.074653,0.0804907,0.0848137,0.0894641,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Beef,Beef,0.0102537,0.0260894,0.0412998,0.0712015,0.0875158,0.108142,0.13863,0.176608,0.225959,0.284426,0.355054,0.425669,0.51344,0.594276,0.675186,0.753891,0.820035,0.903637,0.958706,1.02067,1.08005,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Dairy,Dairy,0.908659,1.79915,2.36671,2.7535,3.12587,3.50256,4.05941,4.72527,5.58203,6.52977,7.76183,8.94739,10.481,11.9251,13.353,14.8506,16.1391,17.8887,18.9599,20.3495,21.6397,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Pork,Pork,0.0819887,0.107269,0.126895,0.142714,0.161912,0.179242,0.202122,0.231486,0.263288,0.295468,0.334119,0.374921,0.420577,0.462225,0.501601,0.542194,0.579069,0.616,0.643354,0.676384,0.70102,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.241393,0.284119,0.329694,0.423789,0.505782,0.583117,0.675321,0.805529,0.933392,1.07516,1.24012,1.40993,1.6136,1.77682,1.94868,2.13214,2.31355,2.47797,2.5849,2.72383,2.8283,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.006259,0.0134626,0.0196109,0.0214391,0.0250117,0.0294825,0.0354562,0.0423189,0.050532,0.0599921,0.0709115,0.0824962,0.0970787,0.110565,0.125375,0.140205,0.154962,0.171738,0.182784,0.195236,0.205768,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Eastern,Mixed,Pasture_FodderGrass,Beef,Beef,0.0849829,0.167223,0.251046,0.4115,0.460354,0.505112,0.566058,0.639787,0.713775,0.783012,0.856682,0.929762,0.980657,1.04132,1.07919,1.11735,1.13747,1.1471,1.1719,1.18395,1.20226,Mt,
