meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Mixed,FeedCrops,Beef,Beef,0.0123841,0.0184554,0.0255638,0.0384381,0.0437096,0.0566592,0.0821961,0.112816,0.147802,0.182812,0.223356,0.263026,0.316192,0.359787,0.416225,0.478752,0.538381,0.599613,0.66052,0.708003,0.773487,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Mixed,FeedCrops,Dairy,Dairy,0.223711,0.331765,0.415734,0.460871,0.488348,0.575535,0.754839,0.948695,1.14784,1.32669,1.53426,1.72978,2.01642,2.24767,2.56933,2.93548,3.29764,3.67971,4.06529,4.37388,4.80368,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Mixed,FeedCrops,Pork,Pork,0.0199811,0.0340869,0.0479256,0.0631631,0.070203,0.0819468,0.100314,0.119634,0.140022,0.160073,0.181392,0.202727,0.228015,0.250928,0.276702,0.302867,0.327627,0.350908,0.372146,0.389042,0.406259,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Mixed,FeedCrops,Poultry,Poultry,0.171982,0.171075,0.233658,0.320841,0.365334,0.428444,0.518611,0.616448,0.723463,0.836931,0.959994,1.08733,1.228,1.36391,1.50714,1.65047,1.78521,1.91139,2.02716,2.12467,2.21798,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.004639,0.0079984,0.0102357,0.0097769,0.0110087,0.012972,0.0159983,0.0193559,0.0231429,0.02731,0.0321029,0.0373136,0.0434727,0.0496137,0.0564689,0.0636695,0.0706846,0.0775413,0.0840053,0.0896082,0.0952407,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Beef,Beef,0.0102537,0.0260894,0.0412998,0.0712015,0.0863261,0.107766,0.138207,0.175922,0.223954,0.281634,0.348519,0.423172,0.503094,0.584357,0.665468,0.745535,0.820477,0.890746,0.954164,1.01145,1.06288,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Dairy,Dairy,0.908659,1.79915,2.36671,2.7535,3.09847,3.50476,4.04496,4.70112,5.52016,6.48595,7.59625,8.82819,10.1711,11.5678,13.0036,14.4504,15.8643,17.2305,18.4859,19.6387,20.7062,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Pork,Pork,0.0819887,0.107269,0.126895,0.142714,0.159942,0.178052,0.201169,0.227564,0.258862,0.293438,0.329654,0.369152,0.409085,0.45088,0.490293,0.527071,0.562535,0.594711,0.622095,0.646666,0.663807,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.241393,0.284119,0.329694,0.423789,0.497549,0.579108,0.677837,0.789126,0.918094,1.06606,1.22579,1.40244,1.57854,1.76763,1.94616,2.11693,2.27963,2.42792,2.558,2.68134,2.77434,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.006259,0.0134626,0.0196109,0.0214391,0.0249144,0.029323,0.0353562,0.0422025,0.0502281,0.059564,0.0702546,0.0825098,0.0960429,0.110586,0.12573,0.141218,0.156481,0.17119,0.184651,0.19725,0.208277,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Mixed,Pasture_FodderGrass,Beef,Beef,0.0849829,0.167223,0.251046,0.4115,0.457966,0.50583,0.568484,0.637127,0.709633,0.785511,0.858252,0.92467,0.980476,1.03114,1.07096,1.10324,1.12729,1.14575,1.16237,1.17354,1.18139,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Mixed,Pasture_FodderGrass,Dairy,Dairy,2.45641,4.62136,6.03198,6.96381,7.1874,7.19228,7.27805,7.45508,7.66797,7.9393,8.21906,8.48473,8.72682,8.99403,9.22892,9.44029,9.63171,9.80249,9.96899,10.099,10.2148,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Mixed,Pasture_FodderGrass,SheepGoat,SheepGoat,0.185966,0.366499,0.510336,0.533611,0.609841,0.696996,0.809671,0.927319,1.05169,1.18614,1.3273,1.47627,1.62522,1.7778,1.92227,2.05838,2.18305,2.29478,2.39384,2.48035,2.54937,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Mixed,Scavenging_Other,Beef,Beef,0.0056677,0.011149,0.016734,0.02743,0.0320375,0.0344176,0.0368954,0.040067,0.0442394,0.0487914,0.0538804,0.0590887,0.0650628,0.0707332,0.0763749,0.0816084,0.086372,0.0908047,0.0946937,0.0977152,0.100501,Mt,
"Reference,date=2024-14-2T14:22:24-08:00",Africa_Eastern,Mixed,Scavenging_Other,Dairy,Dairy,0.189169,0.35511,0.462481,0.532775,0.549121,0.514702,0.483283,0.475145,0.486579,0.504554,0.529318,0.558053,0.59799,0.638134,0.680441,0.719207,0.757578,0.795006,0.827759,0.850913,0.870941,Mt,
