regsector,AgCOMM,AgCOMM1,AgCOMM2,AgCOMM3,AgCOMM4
biomass,biomass,biomass,Energy crops,Energy crops,Energy crops
regional wheat,Wheat,Staples,Staple crops,Staple crops,Wheat
regional rice,Rice,Staples,Staple crops,Staple crops,Rice
regional corn,Corn,Staples,Staple crops,Staple crops,Corn
regional othergrain,OtherGrain,Staples,Staple crops,Staple crops,Other crops
regional root_tuber,RootTuber,Staples,Staple crops,Staple crops,Other crops
regional oilcrop,OilCrop,Other Crops,Oil crops,Oil crops,Other crops
regional soybean,Soybean,Other Crops,Oil crops,Oil crops,Soybean
regional oilpalm,OilPalm,Other Crops,Oil crops,Oil crops,Other crops
regional legumes,Legumes,Other Crops,Other crops,Other crops,Other crops
regional fibercrop,FiberCrop,Other Crops,Other crops,Other crops,Other crops
regional sugarcrop,SugarCrop,Other Crops,Other crops,Other crops,Other crops
regional nuts_seeds,NutsSeeds,Other Crops,Other crops,Other crops,Other crops
regional fruits,Fruits,Other Crops,Other crops,Other crops,Other crops
regional vegetables,Vegetables,Other Crops,Other crops,Other crops,Other crops
regional misccrop,MiscCrop,Other Crops,Other crops,Other crops,Other crops
regional beef,Beef,Livestock,Livestock,Livestock,Livestock
regional dairy,Dairy,Livestock,Livestock,Livestock,Livestock
regional sheepgoat,SheepGoat,Livestock,Livestock,Livestock,Livestock
regional pork,Pork,Livestock,Livestock,Livestock,Livestock
regional poultry,Poultry,Livestock,Livestock,Livestock,Livestock
OtherMeat_Fish,OtherMeat_Fish,Livestock,Livestock,Livestock,Livestock
Pasture,Pasture,Pasture,Pasture,Pasture,Pasture
FodderHerb,FodderHerb,Fodder,Fodder crops,Other crops,Other crops
FodderGrass,FodderGrass,Fodder,Fodder crops,Other crops,Other crops
,Forest,Forest,Forest,Forest,Forest
